SM00101	14_3_3: 14-3-3 homologues
SM00064	FYVE: Protein present in Fab1, YOTB, Vac1, and EEA1
SM00682	G2F: G2 nidogen domain and fibulin
SM01207	G3P_acyltransf: Glycerol-3-phosphate acyltransferase 
SM01208	G5: 
SM01225	G8: 
SM00844	GA: GA module
SM00065	GAF: Domain present in phytochromes and cGMP-specific phosphodiesterases.
SM01226	GAGA_bind: GAGA binding protein-like family
SM01379	GAGE: 
SM00066	GAL4: GAL4-like Zn(II)2Cys6 (or C6 zinc) binuclear cluster DNA-binding domain
SM00071	Galanin: Galanin
SM00908	Gal-bind_lectin: Galactoside-binding lectin
SM00275	G_alpha: G protein alpha subunit
SM01209	GARS_A: Phosphoribosylglycinamide synthetase, ATP-grasp (A) domain 
SM01210	GARS_C: Phosphoribosylglycinamide synthetase, C domain 
SM00243	GAS2: Growth-Arrest-Specific Protein 2 Domain
SM00029	GASTRIN: gastrin / cholecystokinin / caerulein family
SM01211	GATase_5: CobB/CobQ-like glutamine amidotransferase domain
SM00845	GatB_Yqey: GatB domain
SM01227	GCK: 
SM00907	GDNF: GDNF/GAS1 domain
SM00302	GED: Dynamin GTPase effector domain
SM00262	GEL: Gelsolin homology domain
SM00909	Germane: Sporulation and spore germination
SM01224	G_gamma: GGL domain
SM00267	GGDEF: diguanylate cyclase
SM00224	GGL: G protein gamma subunit-like motifs
SM00067	GHA: Glycoprotein hormone alpha chain homologues.
SM00068	GHB: Glycoprotein hormone beta chain homologues.
SM01228	GIDA_assoc_3: GidA associated domain 3
SM00555	GIT: Helical motif in the GIT family of ADP-ribosylation factor GTPase-activating proteins
SM00465	GIYc: GIY-YIG type nucleases (URI domain)
SM00069	GLA: Domain containing Gla (gamma-carboxyglutamate) residues.
SM00276	GLECT: Galectin
SM01230	Gln-synt_C: Glutamine synthetase, catalytic domain
SM00070	GLUCA: Glucagon like hormones
SM01229	GluR_Homer-bdg: 
SM00633	Glyco_10: Glycosyl hydrolase family 10
SM00636	Glyco_18: 
SM00641	Glyco_25: Glycosyl hydrolases family 25
SM00640	Glyco_32: Glycosyl hydrolases family 32
SM00390	GoLoco: LGN motif, putative GEFs specific for G-alpha GTPases
SM00443	G_patch: glycine rich nucleic binding domain
SM00846	Gp_dh_N: Glyceraldehyde 3-phosphate dehydrogenase, NAD binding domain
SM00303	GPS: G-protein-coupled receptor proteolytic site domain
SM00568	GRAM: domain in glucosyltransferases, myotubularins and other putative membrane-associated proteins
SM00277	GRAN: Granulin
SM00755	Grip: golgin-97, RanBP2alpha,Imh1p and p230/golgin-245
SM00467	GS: GS motif
SM00072	GuKc: Guanylate kinase homologues.
SM00444	GYF: Contains conserved Gly-Tyr-Phe residues
SM00713	GYR: Motif of unknown function with conserved Gly, Tyr, Arg tripeptide in Drosophila proteins.
SM00526	H15: Domain in histone families 1 and 5
SM00414	H2A: Histone 2A
SM00427	H2B: Histone H2B
SM01232	H2TH: Formamidopyrimidine-DNA glycosylase H2TH domain
SM00428	H3: Histone H3
SM00417	H4: Histone H4
SM00847	HA2: Helicase associated domain (HA2)  Add an annotation
SM01233	HABP4_PAI-RBP1: Hyaluronan / mRNA binding family
SM00912	Haemagg_act: haemagglutination activity domain
SM01235	Haem_bd: Haem-binding domain
SM01234	Haemolytic: 
SM01236	Haem_oxygenase_2: Iron-containing redox enzyme
SM00340	HALZ: homeobox associated leucin zipper
SM00304	HAMP: HAMP (Histidine kinases, Adenylyl cyclases, Methyl binding proteins, Phosphatases) domain
SM00386	HAT: HAT (Half-A-TPR) repeats
SM00387	HATPase_c: Histidine kinase-like ATPases
SM01358	HBM: helical bimodular (HBM) domain
SM00761	HDAC_interact: Histone deacetylase (HDAC) interacting
SM00471	HDc: Metal dependent phosphohydrolases with conserved 'HD' motif.
SM00119	HECTc: Domain Homologous to E6-AP Carboxyl Terminus with 
SM00490	HELICc: helicase superfamily c-terminal domain
SM00491	HELICc2: 
SM00492	HELICc3: 
SM00748	HEPN: Higher Eukarytoes and Prokaryotes Nucleotide-binding domain
SM00278	HhH1: Helix-hairpin-helix DNA-binding motif class 1
SM00279	HhH2: Helix-hairpin-helix class 2 (Pol1 family) motifs
SM00305	HintC: Hint (Hedgehog/Intein) domain C-terminal region
SM00306	HintN: Hint (Hedgehog/Intein) domain N-terminal region
SM00910	HIRAN: 
SM00388	HisKA: His Kinase A (phosphoacceptor) domain
SM01231	H-kinase_dim: Signal transducing histidine kinase, homodimeric domain
SM00353	HLH: helix loop helix domain
SM00398	HMG: high mobility group
SM00527	HMG17: domain in high mobilty group proteins HMG14 and HMG 17
SM00507	HNHc: HNH nucleases
SM00528	HNS: Domain in histone-like proteins of HNS family
SM00430	HOLI: Ligand binding domain of hormone receptors
SM00008	HormR: Domain present in hormone receptors
SM00389	HOX: Homeodomain
SM00073	HPT: Histidine Phosphotransfer domain
SM00742	Hr1: Rho effector or protein kinase C-related kinase homology region 1 homologues
SM00341	HRDC: Helicase and RNase D C-terminal
SM00573	HSA: domain in helicases and associated with SANT domains
SM00415	HSF: heat shock factor
SM00342	HTH_ARAC: helix_turn_helix, arabinose operon control protein
SM00418	HTH_ARSR: helix_turn_helix, Arsenical Resistance Operon Repressor
SM00344	HTH_ASNC: helix_turn_helix ASNC type
SM00419	HTH_CRP: helix_turn_helix, cAMP Regulatory protein
SM00420	HTH_DEOR: helix_turn_helix, Deoxyribose operon repressor
SM00529	HTH_DTXR: Helix-turn-helix diphteria tox regulatory element
SM00345	HTH_GNTR: helix_turn_helix gluconate operon transcriptional repressor
SM00346	HTH_ICLR: helix_turn_helix isocitrate lyase regulation
SM00354	HTH_LACI: helix_turn _helix lactose operon repressor
SM00421	HTH_LUXR: helix_turn_helix, Lux Regulon
SM00347	HTH_MARR: helix_turn_helix multiple antibiotic resistance protein
SM00422	HTH_MERR: helix_turn_helix, mercury resistance
SM00530	HTH_XRE: Helix-turn-helix XRE-family like proteins 
SM00752	HTTM: Horizontally Transferred TransMembrane Domain
SM00911	HWE_HK: HWE histidine kinase
SM00120	HX: Hemopexin-like repeats.
SM00075	HYDRO: Hydrophobins
SM00121	IB: Insulin growth factor-binding protein homologues
SM00913	IBN_N: Importin-beta N-terminal domain
SM00647	IBR: In Between Ring fingers
SM01237	ICA69: Islet cell autoantigen ICA69, C-terminal domain 
SM00914	IDEAL: 
SM00497	IENR1: Intron encoded nuclease repeat motif
SM00496	IENR2: Intron-encoded nuclease repeat 2
SM00076	IFabd: Interferon alpha, beta and delta.
SM00409	IG: Immunoglobulin
SM00407	IGc1: Immunoglobulin C-Type
SM00408	IGc2: Immunoglobulin C-2 Type
SM00557	IG_FLMN: Filamin-type immunoglobulin domains
SM00410	IG_like: Immunoglobulin like
SM01238	IGR: 
SM00406	IGv: Immunoglobulin V-Type
SM01239	IKKbetaNEMObind: I-kappa-kinase-beta NEMO binding domain
SM00125	IL1: Interleukin-1 homologues 
SM00188	IL10: Interleukin-10 family
SM00189	IL2: Interleukin-2 family
SM00190	IL4_13: Interleukins 4 and 13
SM00126	IL6: Interleukin-6 homologues
SM00127	IL7: Interleukin-7 and interleukin-9 family.
SM00078	IlGF: Insulin / insulin-like growth factor / relaxin family.
SM00307	ILWEQ: I/LWEQ domain
SM01240	IMPDH: IMP dehydrogenase / GMP reductase domain
SM00187	INB: Integrin beta subunits (N-terminal portion of extracellular region)
SM00848	Inhibitor_I29: Cathepsin propeptide inhibitor domain (I29)
SM00191	Int_alpha: Integrin alpha (beta-propellor repeats).
SM01241	Integrin_b_cyt: 
SM01242	Integrin_B_tail: 
SM00128	IPPc: Inositol polyphosphate phosphatase, catalytic domain homologues
SM00429	IPT: ig-like, plexins, transcription factors
SM00015	IQ: Short calmodulin-binding motif containing conserved Ile and Gln residues.
SM00348	IRF: interferon regulatory factor
SM01243	IRF-3: Interferon-regulatory factor 3
SM00548	IRO: Motif in Iroquois-class homeodomain proteins (only). Unknown function.
SM01244	IRS: Phosphotyrosine-binding domain
SM01329	Iso_dh: Isocitrate/isopropylmalate dehydrogenase
SM00077	ITAM: Immunoreceptor tyrosine-based activation motif
SM00232	JAB_MPN: JAB/MPN domain
SM00915	Jacalin: Jacalin-like lectin domain
SM01245	Jag_N: 
SM00700	JHBP: Juvenile hormone binding protein domains in insects.
SM00558	JmjC: A domain family that is part of the cupin metalloenzyme superfamily.
SM00545	JmjN: Small domain found in the jumonji family of transcription factors
SM01246	Josephin: 
SM01295	K167R: K167/Chmadrin repeat
SM01247	KaiA: 
SM01248	KaiB: 
SM01297	KAP: Kinesin-associated protein (KAP) 
SM01298	KapB: 
SM01249	KASH: Nuclear envelope localisation domain 
SM01250	KAT11: Histone acetylation protein
SM00280	KAZAL: Kazal type serine protease inhibitors
SM01251	KbaA: KinB-signalling pathway activation in sporulation
SM00612	Kelch: 
SM00322	KH: K homology RNA-binding domain
SM01252	KilA-N: 
SM01253	Kin17_mid: Domain of Kin17 curved DNA-binding protein
SM00750	KIND: kinase non-catalytic C-lobe domain
SM00129	KISc: Kinesin motor, catalytic domain. ATPase.
SM01254	KLRAQ: Predicted coiled-coil domain-containing protein
SM00505	Knot1: Knottins
SM01255	KNOX1: 
SM01256	KNOX2: 
SM00739	KOW: KOW (Kyprides, Ouzounis, Woese) motif.
SM00130	KR: Kringle domain
SM00349	KRAB: krueppel associated box
SM01257	KRAP_IP3R_bind: Ki-ras-induced actin-interacting protein-IP3R-interacting domain
SM01258	KRBA1: KRBA1 family repeat
SM00131	KU: BPTI/Kunitz family of serine protease inhibitors.
SM00559	Ku78: Ku70 and Ku80 are 70kDa and 80kDa subunits of the Lupus Ku autoantigen
SM00569	L27: domain in receptor targeting proteins Lin-2 and Lin-7
SM00916	L51_S25_CI-B8: Mitochondrial ribosomal protein L51 / S25 / CI-B8 domain
SM00715	LA: Domain in the RNA-binding Lupus La protein; unknown function
SM01259	LAB_N: Lipid A Biosynthesis N-terminal domain
SM00849	Lactamase_B: Metallo-beta-lactamase superfamily
SM01267	LAG1_DNAbind: LAG1, DNA binding
SM00281	LamB: Laminin B domain
SM00282	LamG: Laminin G domain
SM00560	LamGL: LamG-like jellyroll fold domain
SM00136	LamNT: Laminin N-terminal domain (domain VI)
SM01262	LAMTOR: Late endosomal/lysosomal adaptor and MAPK and MTOR activator
SM01260	LANC_like: Lanthionine synthetase C-like protein
SM00603	LCCL: 
SM00192	LDLa: Low-density lipoprotein receptor domain class A
SM00540	LEM: in nuclear membrane-associated proteins
SM00917	LeuA_dimer: LeuA allosteric (dimerisation) domain
SM01263	Leuk-A4-hydro_C: Leukotriene A4 hydrolase, C-terminal
SM00308	LH2: Lipoxygenase homology 2 (beta barrel) domain
SM00080	LIF_OSM: leukemia inhibitory factor 
SM00532	LIGANc: Ligase N family
SM00918	Lig_chan-Glu_bd: Ligated ion channel L-glutamate- and glycine-binding site
SM00132	LIM: Zinc-binding domain present in Lin-11, Isl-1, Mec-3.
SM00445	LINK: Link (Hyaluronan-binding)
SM01269	Lipid_DES: Sphingolipid Delta4-desaturase (DES)
SM00667	LisH: Lissencephaly type-1-like homology motif
SM00714	LITAF: Possible membrane-associated motif in LPS-induced tumor necrosis factor alpha factor (LITAF), also known as PIG7, and other animal proteins.
SM00226	LMWPc: Low molecular weight phosphatase family
SM00775	LNS2: 
SM00464	LON: Found in ATP-dependent protease La (LON)
SM01270	Longin: Regulated-SNARE-like domain
SM00638	LPD_N: Lipoprotein N-terminal Domain
SM00370	LRR: Leucine-rich repeats, outliers
SM00364	LRR_BAC: Leucine-rich repeats, bacterial type
SM00446	LRRcap: occurring C-terminal to leucine-rich repeats
SM00367	LRR_CC: Leucine-rich repeat - CC (cysteine-containing) subfamily
SM00082	LRRCT: Leucine rich repeat C-terminal domain
SM00013	LRRNT: Leucine rich repeat N-terminal domain
SM00368	LRR_RI: Leucine rich repeat, ribonuclease inhibitor type
SM00365	LRR_SD22: Leucine-rich repeat, SDS22-like subfamily
SM00369	LRR_TYP: Leucine-rich repeats, typical (most populated) subfamily
SM01271	LSM14: Scd6-like Sm domain
SM01272	LsmAD: 
SM00134	LU: Ly-6 antigen / uPA receptor -like domain
SM00135	LY: Low-density lipoprotein-receptor YWTD domain
SM00257	LysM: Lysin motif
SM00850	LytTR: LytTr DNA-binding domain
SM00263	LYZ1:  Alpha-lactalbumin / lysozyme C
SM00047	LYZ2: Lysozyme subfamily 2
SM01264	M16C_associated: Peptidase M16C associated
SM01276	M60-like: Peptidase M60-like family
SM00283	MA: Methyl-accepting chemotaxis-like domains (chemotaxis sensory transducer).
SM00544	MA3: Domain in DAP-5, eIF4G, MA-3 and other proteins.
SM01265	Mab-21: 
SM01266	Mac: Maltose acetyltransferase
SM00457	MACPF: membrane-attack complex / perforin
SM00777	Mad3_BUB1_I: Mad3/BUB1 hoMad3/BUB1 homology region 1
SM00595	MADF: 
SM00432	MADS: 
SM01373	MAGE: Melanoma-associated antigen
SM01392	MAGE_N: Melanoma associated antigen family N terminal 
SM01273	Mago-bind: Mago binding
SM01277	MAGUK_N_PEST: Polyubiquitination (PEST) N-terminal domain of MAGUK
SM01274	malic: Malic enzyme, N-terminal domain
SM00919	Malic_M: Malic enzyme, NAD binding domain
SM00137	MAM: Domain in meprin, A5, receptor protein tyrosine phosphatase mu (and others)
SM01275	MamL-1: MamL-1 domain 
SM00765	MANEC: 
SM01278	MAPKK1_Int: Mitogen-activated protein kinase kinase 1 interacting
SM00061	MATH: meprin and TRAF homology
SM01279	Matrilin_ccoil: Trimeric coiled-coil oligomerisation domain of matrilin 
SM00391	MBD: Methyl-CpG binding domain
SM00561	MBT: Present in Drosophila Scm, l(3)mbt, and vertebrate SCML2
SM00923	MbtH: MbtH-like protein
SM00350	MCM: minichromosome  maintenance proteins
SM01280	Mcm10: Mcm10 replication factor
SM00604	MD: 
SM01281	Med12: Transcription mediator complex subunit Med12
SM00138	MeTrc: Methyltransferase, chemotaxis proteins 
SM00851	MGS: MGS-like domain
SM00924	MgtE_N: MgtE intracellular N domain
SM00920	MHC_II_alpha: Class II histocompatibility antigen, alpha domain
SM00921	MHC_II_beta: Class II histocompatibility antigen, beta domain
SM00543	MIF4G: Middle domain of eukaryotic initiation factor 4G (eIF4G)
SM00472	MIR: Domain in ryanodine and inositol trisphosphate receptors and protein O-mannosyltransferases
SM00745	MIT: Microtubule Interacting and Trafficking molecule domain
SM00737	ML: Domain involved in innate immunity and lipid metabolism.
SM00925	MltA: MltA specific insert domain
SM01388	Mob1_phocein: Mob1/phocein family
SM00852	MoCF_biosynth: Probable molybdopterin binding domain
SM00926	Molybdop_Fe4S4: Molybdopterin oxidoreductase Fe4S4 domain
SM00698	MORN: Possible plasma membrane-binding motif in junctophilins, PIP-5-kinases and protein kinases.
SM01347	Mre11_DNA_bind: Mre11 DNA-binding presumed domain
SM00922	MR_MLE: Mandelate racemase / muconate lactonizing enzyme, C-terminal domain
SM00733	Mterf: Mitochondrial termination factor repeats
SM00927	MutH: DNA mismatch repair enzyme MutH
SM00853	MutL_C: MutL C terminal dimerisation domain
SM00534	MUTSac: ATPase domain of DNA mismatch repair MUTS family
SM00533	MUTSd: DNA-binding domain of DNA mismatch repair MUTS family
SM00242	MYSc: Myosin. Large ATPases.
SM00139	MyTH4: Domain in Myosin and Kinesin Tails
SM01292	N1221: N1221-like protein
SM01296	N2227: 
SM00928	NADH_4Fe-4S: NADH-ubiquinone oxidoreductase-F iron-sulfur binding region
SM00929	NADH-G_4Fe-4S_3: NADH-ubiquinone oxidoreductase-G iron-sulfur binding region
SM00183	NAT_PEP: Natriuretic peptide
SM01348	Nbs1_C: DNA damage repair protein Nbs1
SM00562	NDK: 
SM00725	NEAT: NEAr Transporter domain
SM00227	NEBU: 
SM00588	NEUZ: 
SM00932	Nfu_N: Scaffold protein Nfu/NifU N terminal
SM00140	NGF: Nerve growth factor (NGF or beta-NGF)
SM01290	N-glycanase_N: Peptide-N-glycosidase F, N terminal
SM00738	NGN: In Spt5p, this domain may confer affinity for Spt4p. It possesses a RNP-like fold.
SM00003	NH: Neurohypophysial hormones
SM00539	NIDO: Extracellular domain of unknown function in nidogen (entactin) and hypothetical proteins.
SM00930	NIL: 
SM00004	NL: Domain found in Notch and Lin-12
SM00084	NMU: Neuromedin U 
SM01338	NOD: 
SM01339	NODP: 
SM00931	NOSIC: NOSIC (NUC001) domain
SM00776	NPCBM: 
SM01364	NPP: Pro-opiomelanocortin, N-terminal region
SM00703	NRF: N-terminal domain in C. elegans NRF-6 (Nose Resistant to Fluoxetine-4) and NDG-4 (resistant to nordihydroguaiaretic acid-4).
SM01291	N-SET: COMPASS (Complex proteins associated with Set1p) component N
SM00206	NTR: Tissue inhibitor of metalloproteinase family.
SM00477	NUC: DNA/RNA non-specific endonuclease
SM01344	NUC194: 
SM00933	NurA: 
SM00284	OLF: Olfactomedin-like domains
SM00934	OMPdecase: Orotidine 5'-phosphate decarboxylase / HUMPS family
SM00935	OmpH: Outer membrane protein (OmpH-like)
SM01365	Op_neuropeptide: Opioids neuropeptide
SM00511	ORANGE: Orange domain
SM00017	OSTEO: Osteopontin
SM00702	P4Hc: Prolyl 4-hydroxylase alpha subunit homologues.
SM00758	PA14: 
SM00085	PA2c: Phospholipase A2
SM00086	PAC: Motif C-terminal to PAS motifs (likely to contribute to PAS structural domain)
SM01335	PADR1: 
SM00309	PAH: Pancreatic hormones / neuropeptide F / peptide YY family 
SM00753	PAM: PCI/PINT associated module
SM00473	PAN_AP: divergent subfamily of APPLE domains
SM00470	ParB: ParB-like nuclease domain
SM00091	PAS: PAS domain
SM00740	PASTA: 
SM00613	PAW: domain present in PNGases and other hypothetical proteins
SM00351	PAX: Paired Box domain
SM00949	PAZ: 
SM00666	PB1: PB1 domain 
SM00285	PBD: P21-Rho-binding domain
SM00710	PbH1: Parallel beta-helix repeats
SM00936	PBP5_C: Penicillin-binding protein 5, C-terminal domain 
SM00062	PBPb: Bacterial periplasmic substrate-binding proteins
SM00079	PBPe: Eukaryotic homologues of bacterial periplasmic substrate binding proteins.
SM00937	PCRF: 
SM00018	PD: P or trefoil or TFF domain
SM00141	PDGF: Platelet-derived and vascular endothelial growth factors (PDGF, VEGF) family
SM00228	PDZ: Domain present in PSD-95, Dlg, and ZO-1/2.
SM01300	PEHE: 
SM00645	Pept_C1: Papain family cysteine protease
SM00939	PepX_C: X-Pro dipeptidyl-peptidase C-terminal non-catalytic domain
SM00940	PepX_N: X-Prolyl dipeptidyl aminopeptidase PepX, N-terminal
SM00854	PGA_cap: Bacterial capsule synthesis protein PGA_cap
SM00855	PGAM: Phosphoglycerate mutase family
SM00701	PGRP: Animal peptidoglycan recognition proteins homologous to Bacteriophage T3 lysozyme.
SM00233	PH: Pleckstrin homology domain.
SM00244	PHB: prohibitin homologues
SM00708	PhBP: Insect pheromone/odorant binding protein domains.
SM00249	PHD: PHD zinc finger
SM00782	PhnA_Zn_Ribbon: PhnA Zinc-Ribbon
SM00145	PI3Ka: Phosphoinositide 3-kinase family, accessory domain (PIK domain)
SM00146	PI3Kc: Phosphoinositide 3-kinase, catalytic domain
SM00142	PI3K_C2: Phosphoinositide 3-kinase, region postulated to contain C2 domain
SM00143	PI3K_p85B: PI3-kinase family, p85-binding domain
SM00144	PI3K_rbd: PI3-kinase family, Ras-binding domain
SM00780	PIG-X: PIG-X / PBN1
SM00938	P-II: Nitrogen regulatory protein P-II
SM00670	PINc: Large family of predicted nucleotide-binding domains
SM00088	PINT: motif in proteasome subunits, Int-6, Nip-1 and TRIP-15
SM01299	PIP49_N: N-term cysteine-rich ER, FAM69
SM00330	PIPKc: Phosphatidylinositol phosphate kinases
SM00950	Piwi: 
SM00089	PKD: Repeats in polycystic kidney disease 1 (PKD1) and other proteins
SM00827	PKS_AT: Acyl transferase domain in polyketide synthase (PKS) enzymes.
SM00826	PKS_DH: 
SM00829	PKS_ER: Enoylreductase
SM00822	PKS_KR: 
SM00825	PKS_KS: Beta-ketoacyl synthase
SM00828	PKS_MT: Methyltransferase  in polyketide synthase (PKS) enzymes.
SM00823	PKS_PP: Phosphopantetheine attachment site
SM01294	PKS_PP_betabranch: 
SM00824	PKS_TE: Thioesterase
SM00022	PLAc: Cytoplasmic phospholipase A2, catalytic subunit
SM00148	PLCXc: Phospholipase C, catalytic domain (part); domain X
SM00149	PLCYc: Phospholipase C, catalytic domain (part); domain Y
SM00155	PLDc: Phospholipase D. Active site motifs.
SM00250	PLEC: Plectin repeat
SM00002	PLP: Myelin proteolipid protein (PLP or lipophilin)
SM00563	PlsC: Phosphate acyltransferases
SM00719	Plus3: Short conserved domain in transcriptional regulators.
SM00856	PMEI: Plant invertase/pectin methylesterase inhibitor
SM00480	POL3Bc: DNA polymerase III beta subunit
SM00482	POLAc: DNA polymerase A domain
SM00486	POLBc: DNA polymerase type-B family
SM00481	POLIIIAc: DNA polymerase alpha chain like domain
SM00483	POLXc: DNA polymerase X family
SM00517	PolyA: C-terminal domain of Poly(A)-binding protein. Present also in Drosophila hyperplastics discs protein.
SM00538	POP4: A domain found in a protein subunit of human RNase MRP and RNase P ribonucleoprotein complexes and archaeal proteins.
SM00508	PostSET: Cysteine-rich motif following a subset of SET domains
SM00352	POU: Found in Pit-Oct-Unc transcription factors
SM00574	POX: domain associated with HOX domains
SM00156	PP2Ac: Protein phosphatase 2A homologues, catalytic domain.
SM00332	PP2Cc: Serine/threonine phosphatases, family 2C, catalytic domain
SM00331	PP2C_SIG: Sigma factor PP2C-like phosphatases
SM00564	PQQ: beta-propeller repeat
SM00596	PRE_C2HC: 
SM00468	PreSET: N-terminal to some SET domains
SM00942	PriCT_1: Primase C terminal 1 (PriCT-1)
SM00943	Prim-Pol: Bifunctional DNA primase/polymerase, N-terminal
SM00778	Prim_Zn_Ribbon: Zinc-binding domain of primase-helicase
SM00947	Pro_CA: Carbonic anhydrase
SM00392	PROF: Profilin
SM00944	Pro-kuma_activ: Pro-kumamolisin, activation domain
SM00945	ProQ: ProQ/FINO family
SM00946	ProRS-C_1: Prolyl-tRNA synthetase, C-terminal
SM00948	Proteasome_A_N: Proteasome subunit A N-terminal signature  Add an annotation
SM00157	PRP: Major prion protein
SM00589	PRY: 
SM00639	PSA: Paramecium Surface Antigen Repeat
SM00423	PSI: domain found in Plexins, Semaphorins and Integrins
SM00730	PSN: Presenilin, signal peptide peptidase, family
SM00581	PSP: proline-rich domain in spliceosome associated proteins
SM00462	PTB: Phosphotyrosine-binding domain, phosphotyrosine-interaction (PI) domain
SM00310	PTBI: Phosphotyrosine-binding domain (IRS1-like)
SM01326	PTEN_C2: C2 domain of PTEN tumour-suppressor protein
SM00087	PTH: Parathyroid hormone
SM00286	PTI: Plant trypsin inhibitors
SM00193	PTN: Pleiotrophin / midkine family
SM00194	PTPc: Protein tyrosine phosphatase, catalytic domain
SM00012	PTPc_DSPc: Protein tyrosine phosphatase, catalytic domain, undefined specificity
SM00404	PTPc_motif: Protein tyrosine phosphatase, catalytic domain motif
SM01301	PTPlike_phytase: Inositol hexakisphosphate
SM00159	PTX: Pentraxin / C-reactive protein / pentaxin family
SM00359	PUA: Putative RNA-binding Domain in PseudoUridine synthase and Archaeosine transglycosylase
SM00580	PUG: domain in protein kinases, N-glycanases and other nuclear proteins
SM00025	Pumilio: Pumilio-like repeats
SM00712	PUR: DNA/RNA-binding repeats in PUR-alpha/beta/gamma and in hypothetical proteins from spirochetes and the Bacteroides-Cytophaga-Flexibacter bacteria.
SM00311	PWI: PWI, domain in splicing factors
SM00293	PWWP: domain with conserved PWWP motif
SM00312	PX: PhoX homologous domain, present in p47phox and p40phox.
SM00313	PXA: Domain associated with PX domains
SM00941	PYNP_C: Pyrimidine nucleoside phosphorylase C-terminal domain
SM01289	PYRIN: PAAD/DAPIN/Pyrin domain
SM00951	QLQ: 
SM00393	R3H: Putative single-stranded nucleic acids-binding domain
SM00314	RA: Ras association (RalGDS/AF-6) domain
SM00175	RAB: Rab subfamily of small GTPases
SM00650	rADc: Ribosomal RNA adenine dimethylases
SM00176	RAN: Ran (Ras-related nuclear proteins) /TC4 subfamily of small GTPases
SM00160	RanBD: Ran-binding domain
SM00952	RAP: 
SM01345	Rapamycin_bind: Rapamycin binding domain
SM01302	Raptor_N: Raptor N-terminal CASPase like domain
SM00173	RAS: Ras subfamily of RAS small GTPases
SM01304	Ras_bdg_2: Ras-binding domain of Byr2
SM00323	RasGAP: GTPase-activator protein for Ras-like GTPases
SM00147	RasGEF: Guanine nucleotide exchange factor for Ras-like small GTPases
SM00229	RasGEFN: Guanine nucleotide exchange factor for Ras-like GTPases; N-terminal motif
SM01303	RasGEF_N_2: Rapamycin-insensitive companion of mTOR RasGEF_N domain
SM01368	RB_A: Retinoblastoma-associated protein A domain
SM01369	Rb_C: Rb C-terminal domain
SM00455	RBD: Raf-like Ras-binding domain
SM00448	REC: cheY-homologous receiver domain
SM00954	RelA_SpoT: Region found in RelA / SpoT proteins
SM00953	RES: 
SM00857	Resolvase:  Resolvase, N terminal domain
SM01305	RESP18: 
SM01306	RFX5_DNA_bdg: RFX5 DNA-binding domain
SM00315	RGS: Regulator of G protein signalling domain
SM00174	RHO: Rho (Ras homology) subfamily of Ras-like small GTPases
SM00450	RHOD: Rhodanese Homology Domain
SM00324	RhoGAP: GTPase-activator protein for Rho-like GTPases
SM00325	RhoGEF: Guanine nucleotide exchange factor for Rho/Rac/Cdc42-like GTPases
SM00959	Rho_N: Rho termination factor, N-terminal domain
SM00535	RIBOc: Ribonuclease III family
SM01374	Ribosomal_L14: Ribosomal protein L14p/L23e
SM01384	Ribosomal_L15e: 
SM01383	Ribosomal_L2: Ribosomal Proteins L2, RNA binding domain
SM01382	Ribosomal_L2_C: Ribosomal Proteins L2, C-terminal domain
SM01380	Ribosomal_L31e: 
SM01393	Ribosomal_L32e: 
SM01377	Ribosomal_L40e: 
SM01386	Ribosomal_S13_N: Ribosomal S13/S15 N-terminal domain
SM01387	Ribosomal_S15: 
SM01390	Ribosomal_S4: Ribosomal protein S4/S9 N-terminal domain
SM00458	RICIN: Ricin-type beta-trefoil
SM01307	RICTOR_M: Rapamycin-insensitive companion of mTOR, middle domain
SM01308	RICTOR_N: Rapamycin-insensitive companion of mTOR, N-term
SM01309	RICTOR_phospho: Rapamycin-insensitive companion of mTOR, phosphorylation-site
SM01310	RICTOR_V: Rapamycin-insensitive companion of mTOR, domain 5
SM00394	RIIa: RIIalpha, Regulatory subunit portion of type II PKA R-subunit
SM00184	RING: Ring finger
SM00744	RINGv: The RING-variant domain is a C4HC3 zinc-finger like motif found in a number of cellular and viral proteins. Some of these proteins have been shown both in vivo and in vitro to have ubiquitin E3 ligase activity.
SM00090	RIO: RIO-like kinase
SM00649	RL11: Ribosomal protein L11/L12
SM00092	RNAse_Pc: Pancreatic ribonuclease 
SM00955	RNB: 
SM00960	Robl_LC7: Roadblock/LC7 domain
SM01378	Romo1: Reactive mitochondrial oxygen species modulator 1
SM00707	RPEL: Repeat in Drosophila CG10860, human KIAA0680 and C. elegans F26H9.2
SM00657	RPOL4c: DNA-directed RNA-polymerase II subunit 
SM00658	RPOL8c: RNA polymerase subunit 8
SM00661	RPOL9: RNA polymerase subunit 9
SM00663	RPOLA_N: RNA polymerase I subunit A N-terminus
SM00659	RPOLCX: RNA polymerase subunit CX
SM00662	RPOLD: RNA polymerases D
SM01311	RPOL_N: DNA-directed RNA polymerase N-terminal
SM00582	RPR: 
SM00956	RQC: 
SM00360	RRM: RNA recognition motif
SM00361	RRM_1: RNA recognition motif
SM00362	RRM_2: RNA recognition motif
SM01312	RTC4: RTC4-like domain
SM01287	Rtt106: Histone chaperone Rttp106-like
SM00961	RuBisCO_small: Ribulose bisphosphate carboxylase, small chain
SM00593	RUN: 
SM00591	RWD: 
SM00316	S1: Ribosomal protein S1-like RNA-binding domain
