PIRSF000001	cytochrome c/cytochrome c2
PIRSF003736	vaccinia virus D-ORF-C protein
PIRSF003740	variola virus DNA-directed RNA polymerase chain D7R
PIRSF003741	vaccinia virus D9R protein
PIRSF003742	vaccinia virus D10R protein
PIRSF003746	vaccinia virus mRNA capping enzyme small chain
PIRSF003749	variola virus N3L protein
PIRSF003750	vaccinia virus D4 protein
PIRSF003751	vaccinia virus D5 protein
PIRSF003753	vaccinia virus early transcription factor 82K chain
PIRSF003754	vaccinia virus H2 protein
PIRSF003755	vaccinia virus H3 protein
PIRSF003756	vaccinia virus H4 protein
PIRSF003759	vaccinia virus H8 protein
PIRSF003760	serpin, Chordopoxvirinae type
PIRSF003764	uncharacterized conserved protein
PIRSF003766	uncharacterized conserved protein
PIRSF003767	ssDNA-binding protein, vaccinia I3L type
PIRSF003768	uncharacterized conserved protein
PIRSF003769	fowlpox virus FP0 protein
PIRSF003770	vaccinia virus I6 protein
PIRSF003771	vaccinia virus I7 protein
PIRSF003772	Amsacta moorei poxvirus G2R protein
PIRSF003774	vaccinia virus I8 protein
PIRSF003775	E3 ubiquitin-protein ligase p28
PIRSF003778	uncharacterized conserved protein
PIRSF003779	host range protein, vaccinia C7L type
PIRSF003780	vaccinia virus 17K HindIII-C protein
PIRSF003781	uncharacterized conserved protein
PIRSF003782	uncharacterized conserved protein
PIRSF003783	uncharacterized conserved protein
PIRSF003784	virokine, vaccinia N1L type
PIRSF003785	vaccinia virus surface antigen
PIRSF003796	ER-localized apoptosis regulator, M-T4 type
PIRSF003798	Amsacta moorei poxvirus spheroidin
PIRSF003799	spheroidin
PIRSF003813	African swine fever virus P30 phosphoprotein
PIRSF003817	genome polyprotein, Flavivirus type
PIRSF003822	rubella virus nonstructural polyprotein
PIRSF003823	non-structural polyprotein containing methyltransferase domain, nsP2 type
PIRSF003824	Borna disease virus 24K antigen
PIRSF003825	superantigen Mtv7
PIRSF003832	retrovirus-related leucine zipper protein p40
PIRSF003841	transposon gypsy-encoded env polyprotein
PIRSF003846	visna lentivirus type E retrovirus env polyprotein
PIRSF003848	foamy virus env polyprotein
PIRSF003852	murine leukemia virus 18K protein
PIRSF003854	virion infectivity factor, Bovine lentivirus type
PIRSF003855	FIV vif protein
PIRSF003856	Visna virus vif protein
PIRSF003861	Visna virus trans-activating transcription regulator
PIRSF003866	anti-repression transactivator protein
PIRSF003867	Rev protein, Ovine/caprine lentivirus type
PIRSF003868	caprine arthritis-encephalitis virus rev-like protein
PIRSF003869	AIDS vpr protein
PIRSF003870	HIV-1 vpu protein
PIRSF003871	AIDS vpu protein
PIRSF003877	feline infectious peritonitis virus 11K protein
PIRSF003879	avian infectious bronchitis virus 3c protein
PIRSF003881	avian infectious bronchitis virus 3a protein
PIRSF003882	avian infectious bronchitis virus 3b protein
PIRSF003884	equine arteritis virus membrane protein
PIRSF003886	coronavirus E1 membrane glycoprotein
PIRSF003888	nucleocapsid protein, coronavirus type
PIRSF003890	phosphoesterase, coronavirus type
PIRSF003895	bovine coronavirus nonstructural protein NS2
PIRSF003896	bovine coronavirus nonstructural protein NS3
PIRSF003897	coronavirus gene N internal ORF
PIRSF003898	respiratory syncytial virus nucleocapsid protein
PIRSF003900	nucleocapsid protein, Filoviridae type
PIRSF003903	parainfluenza virus polymerase-associated nucleocapsid phosphoprotein
PIRSF003904	phosphoprotein P/V, Paramyxovirinae type
PIRSF003905	respiratory syncytial virus phosphoprotein P
PIRSF003909	respiratory syncytial virus nonstructural protein 1B
PIRSF003910	respiratory syncytial virus nonstructural protein 1C
PIRSF003913	matrix glycoprotein M2, Paramyxoviridae type
PIRSF003914	cell fusion glycoprotein
PIRSF003917	measles virus nonstructural protein C
PIRSF003918	TyA protein
PIRSF003919	parainfluenza virus nonstructural protein
PIRSF003920	parainfluenza virus matrix protein
PIRSF003921	respiratory syncytial virus matrix protein
PIRSF003923	small hydrophobic protein, mumps virus type
PIRSF003925	respiratory syncytial virus small protein 1A
PIRSF003926	measles virus hemagglutinin
PIRSF003930	vaccinia virus hemagglutinin
PIRSF003931	influenza virus nucleoprotein
PIRSF003932	influenza virus matrix protein M1
PIRSF003938	influenza B virus nonstructural protein 1
PIRSF003939	influenza virus nonstructural protein NS2
PIRSF003940	influenza B virus NB glycoprotein
PIRSF003944	M polyprotein precursor, Orthobunyavirus type
PIRSF003945	envelope glycoprotein precursor/M polyprotein precursor, Hantavirus type
PIRSF003947	nucleocapsid protein, Orthobunyavirus type
PIRSF003948	nucleocapsid protein, Tospovirus type
PIRSF003949	nucleocapsid protein, Hantavirus type
PIRSF003950	nucleocapsid protein, Nairovirus type
PIRSF003953	nucleocapsid protein, Phlebovirus type
PIRSF003954	nonstructural protein NS-S, Orthobunyavirus type
PIRSF003956	nonstructural protein NS-S, Phlebovirus type
PIRSF003958	nonstructural protein NS-S, Tospovirus type
PIRSF003959	nonstructural protein NS-M, Tospovirus type
PIRSF003960	envelope glycoprotein precursor/M polyprotein precursor, Tospovirus type
PIRSF003961	M polyprotein precursor [CONTAINS: nonstructural protein NS-M, glycoprotein G1, glycoprotein G2], Phlebovirus type
PIRSF003962	envelope glycoprotein precursor/M polyprotein precursor, Nairovirus type
PIRSF003963	rhabdovirus matrix protein
PIRSF003964	rabies virus matrix protein
PIRSF003967	vesicular stomatitis virus nonstructural protein
PIRSF003968	rabies virus nonstructural protein
PIRSF003970	vesicular stomatitis virus nucleoprotein
PIRSF003971	rabies virus nucleoprotein
PIRSF003973	infectious hematopoietic necrosis virus nucleoprotein
PIRSF003977	reovirus lambda 3 protein
PIRSF003979	reovirus sigma 2 protein
PIRSF003980	reovirus sigma NS protein
PIRSF003982	reovirus sigma 3 protein
PIRSF003984	rotavirus core protein
PIRSF003985	reovirus structural protein u1
PIRSF003986	reovirus structural protein u2
PIRSF003987	wound tumor virus structural protein P8
PIRSF003990	rice dwarf virus RNA 5 protein
PIRSF003994	rotavirus VP6 protein
PIRSF003995	bluetongue virus VP6 protein
PIRSF003996	human rotavirus B major inner capsid protein
PIRSF003997	rotavirus glycoprotein VP7
PIRSF003998	rotavirus B glycoprotein VP7
PIRSF003999	rotavirus glycoprotein NCVP5
PIRSF004001	rotavirus nonstructural protein
PIRSF004003	group B rotavirus nonstructural protein
PIRSF004005	rotavirus 34K protein
PIRSF004006	minor outer capsid protein, rotavirus type
PIRSF004007	rotavirus RNA-binding protein
PIRSF004008	interferon resistance/PKR inhibitor, vaccinia E3L type
PIRSF004009	bluetongue virus VP2 protein
PIRSF004010	African horse sickness virus VP2 protein
PIRSF004011	bluetongue virus core protein VP3
PIRSF004012	bluetongue virus outer capsid protein VP5
PIRSF004013	bluetongue virus core protein VP7
PIRSF004014	rotavirus inner layer protein VP1
PIRSF004015	phosphoesterase, rotavirus type
PIRSF004016	bluetongue virus core protein VP4 methyltransferase
PIRSF004017	bluetongue virus nonstructural protein P8
PIRSF004018	bluetongue virus nonstructural protein NS1
PIRSF004019	bluetongue virus nonstructural protein NS2
PIRSF004020	wound tumor virus nonstructural protein Pns4
PIRSF004023	wound tumor virus nonstructural protein Pns11
PIRSF004024	wound tumor virus nonstructural protein Pns12
PIRSF004025	wound tumor virus core protein P6
PIRSF004026	birnavirus VP5 protein
PIRSF004028	envelope glycoprotein precursor [CONTAINS: glycoprotein G1, glycoprotein G2], Arenaviridae type
PIRSF004029	nucleocapsid protein, Arenaviridae type
PIRSF004030	virion component RING-finger Z protein, Arenaviridae type
PIRSF004033	hepatitis E virus structural protein 2
PIRSF004034	feline calicivirus coat protein
PIRSF004035	rabbit calicivirus coat protein
PIRSF004036	black beetle virus coat protein
PIRSF004037	black beetle virus B1 protein
PIRSF004038	black beetle virus B2 protein
PIRSF004040	cauliflower mosaic virus coat protein
PIRSF004041	cauliflower mosaic virus movement protein
PIRSF004042	cauliflower mosaic virus aphid transmission protein
PIRSF004045	caulimovirus inclusion body matrix protein
PIRSF004046	cassava latent virus coat protein
PIRSF004047	tomato golden mosaic virus AL2 protein
PIRSF004048	tomato golden mosaic virus AL3 protein
PIRSF004049	tomato golden mosaic virus BR1 protein
PIRSF004050	tomato yellow leaf curl virus V2 protein
PIRSF004051	tomato golden mosaic virus BL1 protein
PIRSF004052	tomato yellow leaf curl virus C4 protein
PIRSF004054	maize streak virus coat protein
PIRSF004056	tobacco mosaic virus coat protein
PIRSF004060	tobacco rattle virus 29K protein
PIRSF004061	tobacco rattle virus 16K protein
PIRSF004062	tobacco rattle virus coat protein
PIRSF004067	barley stripe mosaic virus 17K protein
PIRSF004070	alfalfa mosaic virus coat protein
PIRSF004072	potato virus 25K protein
PIRSF004073	triple gene block protein 3
PIRSF004075	coat protein, Flexiviridae type
PIRSF004076	potato virus nucleic acid-binding protein
PIRSF004077	alfalfa mosaic virus 32.4K protein
PIRSF004078	coat protein, ilarvirus type
PIRSF004081	carnation mottle virus coat protein
PIRSF004082	turnip crinkle virus 8K protein
PIRSF004083	tombusvirus core protein p22
PIRSF004084	tombusvirus core protein p19
PIRSF004087	rice tungro spherical virus genome polyprotein
PIRSF004090	tomato black ring virus satellite RNA-encoded 48K protein
PIRSF004091	brome mosaic virus coat protein
PIRSF004092	brome mosaic virus 3a protein
PIRSF004093	cucumber mosaic virus coat protein
PIRSF004094	coat protein, satellite virus type
PIRSF004100	potato leaf roll virus 28K protein
PIRSF004101	potato leaf roll virus 70K protein
PIRSF004102	potato leaf roll virus coat protein
PIRSF004103	raspberry bushy dwarf virus coat protein
PIRSF004106	maize stripe virus nonstructural protein NS4
PIRSF004108	coat protein, Tenuivirus type
PIRSF004109	maize stripe virus major noncapsid protein
PIRSF004110	potato leaf roll virus genome-linked protein
PIRSF004111	grapevine fanleaf virus P3 protein
PIRSF004116	phage GA coat protein
PIRSF004117	phage coat protein B (major coat protein)
PIRSF004119	gene 5.9 protein
PIRSF004120	uncharacterized conserved protein
PIRSF004122	class II filamentous phage gene 278 protein
PIRSF004125	phage PP7 coat protein
PIRSF004131	RNA-directed RNA polymerase, phage P2 type
PIRSF004143	spiroplasma virus 4 gene 1 protein
PIRSF004154	phage phi-X174 gene B protein
PIRSF004155	phage C protein
PIRSF004156	phage phi-X174 gene D protein
PIRSF004157	phage phi-X174 gene E protein
PIRSF004158	phage phi-X174 gene F protein
PIRSF004159	major spike protein G
PIRSF004160	minor spike protein, Enterobacteria phage type
PIRSF004161	DNA-binding protein J, Microviridae type
PIRSF004164	filamentous phage gene I protein
PIRSF004165	class I filamentous phage gene II protein
PIRSF004166	class I filamentous phage coat protein A
PIRSF004167	phage IKe coat protein A
PIRSF004168	filamentous phage gene IV protein
PIRSF004169	class I filamentous phage helix-destabilizing protein
PIRSF004170	phage Pf1 helix-destabilizing protein
PIRSF004171	class II filamentous phage helix-destabilizing protein
PIRSF004172	filamentous phage coat protein D
PIRSF004173	class I filamentous phage coat protein C chain I
PIRSF004174	class I filamentous phage coat protein C chain II
PIRSF004177	RNA binding early protein gp1, Bacillus phage phi29 type
PIRSF004178	DNA polymerase, Bacillus phage phi29 type
PIRSF004179	DNA terminal protein GP3
PIRSF004199	phage PZA gene 4 protein
PIRSF004201	phage PZA gene 5B protein
PIRSF004203	phage PZA gene 6 protein
PIRSF004204	phage PZA gene 7 protein
PIRSF004205	phage PZA gene 8 protein
PIRSF004208	phage PZA gene 10 protein
PIRSF004209	phage PZA gene 11 protein
PIRSF004210	phage PZA gene 12 protein
PIRSF004211	phage PZA gene 13 protein
PIRSF004212	phage PZA gene 14 protein
PIRSF004213	phage PZA gene 16 protein
PIRSF004214	phage PZA early protein gp5
PIRSF004215	phage PZA early protein gp6
PIRSF004216	phage PZA early protein gp15
PIRSF004217	phage PZA early protein gp12
PIRSF004218	phage PZA early protein gp13
PIRSF004227	phage P22 gene 2 protein
PIRSF004228	phage P22 gene 3 protein
PIRSF004234	phage lambda replication protein P
PIRSF004236	phage P4 DNA primase
PIRSF004237	phage P4 orf-106 protein
PIRSF004240	phage P4 amber mutation-suppressing protein
PIRSF004241	satellite phage P4 derepression protein
PIRSF004244	satellite phage P4 cII protein
PIRSF004250	phage T4 stp protein
PIRSF004270	uncharacterized conserved protein
PIRSF004272	phage T4 gene 55 protein
PIRSF004274	phage T4 DNA polymerase accessory protein 44
PIRSF004278	phage T4 translation repressor
PIRSF004284	tail fiber assembly helper protein
PIRSF004295	bacteriophage protein Gp9
PIRSF004296	bacteriophage protein Gp10
PIRSF004298	phage T4 gene 12 protein
PIRSF004305	phage-associated immunity protein
PIRSF004307	phage T7 DNA primase
PIRSF004308	phage T7 DNA maturase A
PIRSF004310	phage T4 helix-destabilizing protein
PIRSF004311	helix-destabilizing protein, bacteriophage T7 type
PIRSF004312	phage lambda exonuclease
PIRSF004313	phage lambda recombination protein bet
PIRSF004314	phage P1 recombinase
PIRSF004317	phage P1 tail fiber protein R
PIRSF004323	transposon excisionase
PIRSF004324	phage lambda excisionase
PIRSF004328	phage Cf1t integrase
PIRSF004330	phage lambda integrase
PIRSF004331	phage phi-80 integrase
PIRSF004338	integrase
PIRSF004339	prophage integrase, SlpA type
PIRSF004344	outer membrane protein X
PIRSF004348	RNA polymerase inhibitor gp2
PIRSF004351	phage lambda endolysin
PIRSF004352	phage lambda DNA packaging protein Nu1
PIRSF004353	phage lambda DNA packaging protein A
PIRSF004354	phage lambda DNA packaging protein FI
PIRSF004355	phage lambda minor capsid protein B
PIRSF004357	major capsid protein, Lactococcus lactis bacteriophage type
PIRSF004358	phage lambda major capsid protein D
PIRSF004359	phage lambda major capsid protein E
PIRSF004362	endonuclease II, phage DenA type
PIRSF004374	phage-associated protein Gp59
PIRSF004377	phage prohead core protein
PIRSF004380	bacteriophage-encoded co-chaperonin, GroES type
PIRSF004391	phage lambda head-to-tail joining protein W
PIRSF004394	phage-related tail assembly protein I
PIRSF004395	tail component protein Z, Bacteriophage lambda type
PIRSF004396	phage lambda minor tail protein U
PIRSF004398	phage lambda minor tail protein G
PIRSF004400	phage lambda minor tail protein H
PIRSF004401	phage lambda minor tail protein M
PIRSF004402	phage lambda minor tail protein L
PIRSF004408	phage Ox2 tail fiber protein gp38
PIRSF004414	phage lambda host specificity protein J
PIRSF004417	antitermination protein Q
PIRSF004440	baseplate protein gpP
PIRSF004443	uncharacterized conserved protein NinB
PIRSF004448	uncharacterized conserved protein Nin204
PIRSF004485	phage lysis endopeptidase, phage T7 gene 18.5 type
PIRSF004486	S-adenosyl-L-methionine dependent methyltransferase, MraW type
PIRSF004488	ribosome-binding factor A
PIRSF004489	tRNA pseudouridine synthase B
PIRSF004490	YdaA protein
PIRSF004491	riboflavin biosynthesis protein RibF/RibC types
PIRSF004492	glutathione-regulated potassium-efflux system protein
PIRSF004493	YafA protein
PIRSF004494	uncharacterized conserved protein
PIRSF004496	YbeB protein
PIRSF004498	uncharacterized lipoprotein yceB
PIRSF004499	translation initiation factor 1, eukaryotic type
PIRSF004504	hydrogenase-1 operon protein HyaF
PIRSF004505	methyltransferase, bacterial type
PIRSF004506	nicotinamidase
PIRSF004509	Rem protein
PIRSF004510	YdiA protein
PIRSF004513	uncharacterized conserved protein
PIRSF004514	YdfD protein
PIRSF004517	diguanylate cyclase/phosphodiesterase, YhdA type
PIRSF004521	protein export protein SecB
PIRSF004522	ABC-type sugar transport system, auxiliary component
PIRSF004523	ABC-type high affinity transport system, periplasmic substrate-binding component p37
PIRSF004525	prepilin peptidase-dependent protein B
PIRSF004526	PpdC
PIRSF004527	uncharacterized protein RacX
PIRSF004528	transcriptional regulator, MtlR type
PIRSF004531	Escherichia coli hypothetical 23K protein (sbm-fba intergenic region)
PIRSF004532	fructose-1,6-bisphosphatase, GlpX type
PIRSF004536	regulatory protein NhaR
PIRSF004537	O-sialoglycoprotein endopeptidase
PIRSF004539	anaerobic C4-dicarboxylate transporter
PIRSF004541	PinO protein
PIRSF004544	phosphoglycolate phosphatase
PIRSF004546	uncharacterized conserved protein
PIRSF004548	inner membrane protein CreD
PIRSF004549	nus operon 15K protein
PIRSF004551	uncharacterized conserved protein
PIRSF004553	methylase, YhhF type
PIRSF004555	uncharacterized conserved protein
PIRSF004557	preprotein translocase Sec, SecY/Sec61-alpha subunit
PIRSF004558	InsA protein
PIRSF004561	FOG: transposase and inactivated derivatives
PIRSF004563	transposase IS5
PIRSF004565	transposon protein
PIRSF004567	transposition site target selection protein TnsE
PIRSF004572	secretion monitor SecM
PIRSF004573	uncharacterized conserved protein
PIRSF004574	replication-associated protein RepA4
PIRSF004576	resolvase, Rsv type
PIRSF004577	Escherichia coli plasmid pBR322 hypothetical 9.4K protein
PIRSF004578	mobilization protein, MobC/MbeC type
PIRSF004581	cop protein
PIRSF004586	uncharacterized conserved protein
PIRSF004587	uncharacterized conserved protein TrbH
PIRSF004588	toxin-antitoxin system, antitoxin component, VapB type
PIRSF004589	MerT protein
PIRSF004594	Staphylococcus aureus plasmid pC194 hypothetical 14.6K protein
PIRSF004597	rlx protein
PIRSF004598	Staphylococcus aureus plasmid pC221 hypothetical protein C
PIRSF004600	hypothetical protein NAB
PIRSF004602	ATP-grasp protein, PurP type
PIRSF004603	membrane protein
PIRSF004604	uncharacterized conserved protein
PIRSF004608	yeast plasmid stability system, Rep1 protein
PIRSF004609	yeast plasmid stability system, Rep2 protein
PIRSF004611	cytochrome B pre-mRNA-processing protein 2
PIRSF004615	yeast mitochondrion Oxi3 intron 1 protein
PIRSF004626	maize TrnI intron hypothetical protein
PIRSF004631	retroelement-encoded protein, env-related
PIRSF004633	heme iron utilization protein with pyridoxamine 5'-phosphate domain
PIRSF004634	short-chain fatty acids transporter
PIRSF004636	beta-lactamase, HcpA/C/D type
PIRSF004638	membrane protein
PIRSF004639	conserved hypothetical NifU-like protein
PIRSF004640	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase
PIRSF004641	outer membrane protein Omp20
PIRSF004644	aspartyl/glutamyl-tRNA amidotransferase, subunit B
PIRSF004645	lacto-N-neotetraose biosynthesis glycosyl transferase, LgtB/LgtE/LgtH types
PIRSF004648	insertion sequence IS1203
PIRSF004649	ABC-type phospholipid transport system, periplasmic substrate binding protein MlaC
PIRSF004652	hypothetical protein HI0227
PIRSF004653	insertion sequence element IS30 transposase
PIRSF004654	lipoprotein NlpI
PIRSF004655	regulatory protein GutR
PIRSF004657	hypothetical protein b3052
PIRSF004658	uncharacterized protein YhbW
PIRSF004659	hypothetical protein HI0107
PIRSF004661	magnesium and cobalt efflux protein CorC
PIRSF004664	transferases /transferring nitrogenous groups /transaminases
PIRSF004666	PqiB protein
PIRSF004667	hypothetical protein b1834
PIRSF004669	flagellar biosynthetic protein
PIRSF004670	FixC protein
PIRSF004671	hypothetical protein b1691
PIRSF004672	bicyclomycin resistance protein
PIRSF004675	YohK protein
PIRSF004677	uncharacterized conserved protein
PIRSF004678	protein YiiS
PIRSF004681	uncharacterized conserved protein
PIRSF004682	D,D-heptose 1,7-bisphosphate phosphatase
PIRSF004683	hypothetical protein HI1037
PIRSF004685	cation efflux protein
PIRSF004689	translation initiation inhibitor, TdcF type
PIRSF004690	twin-arginine leader-binding protein, DmsD type
PIRSF004692	phosphosugar isomerase, KdsD/KpsF type
PIRSF004693	uncharacterized protein with 2 CBS domain pairs, MJ1225 type
PIRSF004694	uncharacterized protein with CBS domain pair, YhcV type
PIRSF004697	uncharacterized protein with CBS and CP12 domains
PIRSF004698	uncharacterized protein with CBS domain pair, MJ0100 type
PIRSF004699	uncharacterized protein with CBS and ParB-like domains
PIRSF004701	SPS sensor signaling regulator Asi
PIRSF004704	YchN protein
PIRSF004705	hypothetical protein b1477
PIRSF004706	hypothetical protein b1582
PIRSF004707	hypothetical protein b2322
PIRSF004708	hypothetical protein b2380
PIRSF004709	uncharacterized protein with MOSC and/or 3-alpha domain
PIRSF004716	senescence marker protein-30
PIRSF004720	CoA-binding protein
PIRSF004721	RarD protein
PIRSF004724	tRNA (guanine-N(7)-)-methyltransferase
PIRSF004727	phosphatase inhibitor
PIRSF004728	hypothetical protein YbbH
PIRSF004729	protein MutL
PIRSF004731	peptide transporter protein
PIRSF004734	membrane protein
PIRSF004736	protein dinb
PIRSF004737	PLP-dependent enzyme
PIRSF004740	purine nucleoside receptor A
PIRSF004741	haloacid dehalogenase-like hydrolase
PIRSF004744	peptide synthetase PpsE
PIRSF004747	hypothetical protein b0426
PIRSF004749	peptide deformylase
PIRSF004750	NADPH-dependent nitrile oxidoreductase, YqcD type
PIRSF004752	(2R)-phospho-3-sulfolactate synthase
PIRSF004753	RNA m5C Methyltransferase, Fmu type
PIRSF004756	cadmium-binding protein, predicted transporter component, YodA type
PIRSF004757	hypothetical protein YuiD
PIRSF004759	hypothetical protein YvoB
PIRSF004761	[NiFe]-hydrogenase maturation factor, HypA/HybF type
PIRSF004762	FO synthase subunit 2 with iron-sulfur cluster
PIRSF004763	transporter, EamA type
PIRSF004764	uncharacterized conserved protein YmfJ
PIRSF004770	hypothetical protein YtwI
PIRSF004772	uncharacterized conserved protein
PIRSF004774	branched-chain amino acid transport protein, AzlC type
PIRSF004776	bifunctional transcription regulator NadR (NMN adenylytransferase/ribosylnicotinamide kinase)
PIRSF004779	regulatory protein Spx
PIRSF004780	oligoendopeptidase F
PIRSF004786	hypothetical protein YdcI
PIRSF004789	phosphatase/phosphodiesterase, DR1281 type
PIRSF004791	conserved hypothetical protein YoaN
PIRSF004793	uncharacterized conserved protein
PIRSF004795	holo-ACP synthase
PIRSF004796	conserved hypothetical protein YloO
PIRSF004799	uncharacterized conserved protein
PIRSF004800	cytadherence accessory protein 2
PIRSF004801	uncharacterized conserved protein
PIRSF004802	uncharacterized conserved protein
PIRSF004803	ribonuclease J
PIRSF004804	hypothetical protein, Mycoplasma genitalium MG369 type
PIRSF004808	tRNA/rRNA methyltransferase, LasT type
PIRSF004809	pheromone shutdown protein TraB/PrgY
PIRSF004810	chromate transport protein
PIRSF004812	S-adenosyl-L-methionine dependent tRNA/rRNA methyltransferase, archaeal type
PIRSF004813	ligand-binding protein with ACT domain
PIRSF004814	uncharacterized conserved protein
PIRSF004815	GufA protein
PIRSF004817	membrane protein
PIRSF004821	hypothetical protein BB0537
PIRSF004829	TPR repeat protein
PIRSF004837	major autolysin secretion protein LytA
PIRSF004838	EbsB protein
PIRSF004840	transmembrane protein, slr1298 type
PIRSF004841	hypothetical protein HI1730
PIRSF004842	hypothetical protein AF2131
PIRSF004843	acyl-CoA thioesterase II, TesB type
PIRSF004845	molybdenum cofactor precursor Z biosynthesis protein MoaA
PIRSF004846	molybdate-binding periplasmic protein
PIRSF004847	probable molybdenum transport protein ModF
PIRSF004848	pyridoxal 5'-phosphate-dependent enzyme, YBL036c type
PIRSF004849	hypothetical protein HI0753
PIRSF004851	UDP-galactopyranose mutase
PIRSF004853	uncharacterized conserved protein
PIRSF004854	hypothetical protein, Methanococcus jannaschii MJ0225 type
PIRSF004855	uncharacterized conserved protein
PIRSF004856	conserved hypothetical protein MJ0378
PIRSF004857	kinase with amino acid kinase domain
PIRSF004858	zinc-finger protein ZPR1
PIRSF004860	thioredoxin-2
PIRSF004862	flagellar m ring protein
PIRSF004866	IMP cyclohydrolase, archaeal type
PIRSF004867	molybdenum cofactor molybdenum incorporation protein MoeA with molybdate-binding domain
PIRSF004869	pyruvate-formate lyase-activating enzyme
PIRSF004870	molybdenum cofactor molybdenum incorporation protein MoeA
PIRSF004874	bifunctional precorrin-3B C17-methyltransferase/precorrin isomerase
PIRSF004875	precorrin isomerase
PIRSF004877	cobaltochelatase/ferrochelatase CbiX/SirB
PIRSF004878	ribonuclease P, protein component 4
PIRSF004880	uncharacterized conserved protein
PIRSF004882	GTP-binding protein, MJ1339 type
PIRSF004884	sugar kinase, GHMP archaeal type
PIRSF004887	uncharacterized conserved protein
PIRSF004888	YbhL protein
PIRSF004889	Escherichia coli YbhL protein
PIRSF004891	ubiquinone/menaquinone biosynthesis methyltransferase ubiE
PIRSF004892	3'-5' exoribonuclease CSL4 homolog
PIRSF004897	ligand-binding protein with ACT domain, AF1020 type
PIRSF004898	hypothetical protein MTH699
PIRSF004899	membrane protein
PIRSF004903	DNA-binding protein, AbrB class, archaeal type
PIRSF004907	membrane protein
PIRSF004908	GFO/IDH/MocA oxidoreductases
PIRSF004909	response regulator aspartate phosphatase RapA
PIRSF004910	probable ABC transporter YdfO
PIRSF004911	L-lysine 2,3-aminomutase
PIRSF004914	ATP-NAD(H) kinase
PIRSF004915	uncharacterized protein YesV
PIRSF004916	uncharacterized conserved protein
PIRSF004917	uncharacterized protein with hydantoinase/oxoprolinase domain
PIRSF004919	peptidase, TldD type
PIRSF004920	maturation protease, PmbA type
PIRSF004923	protein RseC
PIRSF004925	probable 3 phenylpropionic acid transporter
PIRSF004928	uncharacterized protein mj0038
PIRSF004929	uncharacterized conserved protein
PIRSF004930	translation factor, SUA5 type
PIRSF004931	RNA-binding protein, YrdC type
PIRSF004932	DNA-binding protein, Tfx type
PIRSF004933	hypothetical protein MJ0414
PIRSF004935	thiamine biosynthesis protein ThiI
PIRSF004936	S-adenosyl-L-dependent radical SAM enzyme, miab type
PIRSF004939	hydantoin utilization protein B
PIRSF004940	hypothetical protein YKL215c
PIRSF004942	ATP-dependent nuclease AddA homolog
PIRSF004943	abhydrolase domain-containing protein
PIRSF004944	hydrolase, metallo-beta-lactamase superfamily
PIRSF004945	serine proteinase, DO type
PIRSF004946	trypsin-like proteinase DegS
PIRSF004948	heteroglycan interacting protein
PIRSF004949	metal-dependent/Li(+)-inhibited phosphomonoesterase
PIRSF004950	membrane sulfatase, HI0842 type
PIRSF004951	hypothetical protein, Methanococcus jannaschii MJ0486 type
PIRSF004952	ribonuclease P, protein component 2
PIRSF004953	[NiFe]-hydrogenase-3-type complex Eha, membrane protein EhaL
PIRSF004954	uncharacterized protein with radical SAM domain
PIRSF004955	HTH transcriptional regulator, archaeal type
PIRSF004958	uncharacterized conserved protein b0985
PIRSF004959	uncharacterized conserved protein
PIRSF004960	N5-methyltetrahydromethanopterin--coenzyme M methyltransferase, subunit H/methyltransferase Mtx, subunit H
PIRSF004961	metal-dependent hydrolase related to TatD DNase, archaeal type
PIRSF004962	uncharacterized conserved protein
PIRSF004964	6-phospho-3-hexuloisomerase, YckF type
PIRSF004965	Methanococcus jannaschii polyferredoxin 2
PIRSF004966	aconitase X, swiveling domain subunit
PIRSF004967	diphthamide biosynthesis protein 1
PIRSF004969	bifunctional 3-hexulose-6-phosphate synthase/6-phospho-3-hexuloisomerase
PIRSF004970	RNA-binding protein, AF1733 type
PIRSF004971	hypothetical protein, Methanococcus jannaschii MJ1559 type
PIRSF004972	S-adenosyl-L-methionine dependent SET domain methyltransferase
PIRSF004973	uncharacterized conserved protein MJ1624
PIRSF004974	exonuclease with PIN domain, MJ1680 type
PIRSF004976	PP-loop ATPase, Ncs6p/YdaO type
PIRSF004977	uncharacterized conserved protein
PIRSF004981	S-adenosyl-L-methionine dependent RNA methyltransferase, YccW type
PIRSF004982	outer membrane protein slp
PIRSF004983	2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase MenD
PIRSF004984	probable transcriptional regulator YbbS
PIRSF004985	Holliday junction resolvase, archaeal type
PIRSF004990	transmembrane protein with a zinc ribbon
PIRSF004993	exonuclease with PIN domain, AF1711 type
PIRSF004998	uncharacterized Fe-S protein, AF1814 type
PIRSF004999	bifunctional precorrin-2 oxidase/chelatase
PIRSF005003	inactive homolog of metal-dependent protease
PIRSF005004	hypothetical protein HI0857
PIRSF005005	preprotein translocase Sec, SecF subunit
PIRSF005006	preprotein translocase Sec, SecG subunit, bacterial type
PIRSF005007	glycosyl transferase A
PIRSF005010	heme exporter protein D
PIRSF005011	protein SanA
PIRSF005015	uncharacterized conserved protein
PIRSF005018	uncharacterized conserved protein
